TRANSACTION_ID,ITEM_ID,CONTRACT_ID,SALE_REGISTRATION_DATE,ITEM,LOCALITY,NEIGHBORHOOD,SUBCATEGORY,MERCHANT_NAME,BRANCH_MERCHANT,SELLER_NAME,CANAL_CONSOLIDADO,LINEA_NEGOCIO,NUMBER_OF_INSTALLMENTS,TOTAL_VALUE,CURRENT_STATUS
TRX-686182,ITM-896818,CTR-29967,2025-06-30T00:15:01.000Z,TELEFONOS CELULARES,Municipio_46,Barrio_258,ESTRATO 4,Aliado_64,Sucursal_310,Vendedor_208,Fdv Externa,Hogar,14,1148.5,ENTREGADO
TRX-675572,ITM-749462,CTR-31059,2025-06-29T23:47:42.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_400,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,8,1443.9,ANULADO
TRX-963874,ITM-778034,CTR-24147,2025-06-29T22:54:15.000Z,CELULAR,Municipio_10,Barrio_19,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,20,489.5,ENTREGADO
TRX-963874,ITM-778034,CTR-24147,2025-06-29T22:54:15.000Z,CELULAR,Municipio_10,Barrio_19,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,20,611.9,ENTREGADO
TRX-963874,ITM-778034,CTR-24147,2025-06-29T22:54:15.000Z,CELULAR,Municipio_10,Barrio_19,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,20,1101.5,ENTREGADO
TRX-981612,ITM-778034,CTR-44467,2025-06-29T22:02:50.000Z,CELULAR,Municipio_21,Barrio_24,ESTRATO 1,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,21,1847.9,REGISTRADO
TRX-302525,ITM-568753,CTR-49459,2025-06-29T21:51:04.000Z,TABLET,Municipio_20,Barrio_173,ESTRATO 6,Aliado_84,Sucursal_458,Vendedor_84,Grandes Superficies,Educacion,21,1324.8,ENTREGADO
TRX-117463,ITM-141433,CTR-62281,2025-06-29T21:44:16.000Z,CONSOLA PLAY STATION,Municipio_10,Barrio_445,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Fdv Externa,Viajes y Experiencia,27,1583.9,ENTREGADO
TRX-117463,ITM-922035,CTR-62281,2025-06-29T21:44:16.000Z,COLCHON,Municipio_10,Barrio_445,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Fdv Externa,Viajes y Experiencia,27,743.5,ENTREGADO
TRX-356026,ITM-778034,CTR-35793,2025-06-29T21:32:02.000Z,CELULAR,Municipio_2,Barrio_180,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,9,736.9,ENTREGADO
TRX-356026,ITM-749462,CTR-35793,2025-06-29T21:32:02.000Z,OTROS ENSERES MENORES,Municipio_2,Barrio_180,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,9,190.0,ENTREGADO
TRX-641930,ITM-891322,CTR-46699,2025-06-29T21:23:54.000Z,MUEBLES MODULARES,Municipio_6,Barrio_245,ESTRATO 5,Aliado_23,Sucursal_310,Vendedor_123,Grandes Superficies,Hogar,27,1064.4,ENTREGADO
TRX-641930,ITM-749462,CTR-46699,2025-06-29T21:23:54.000Z,OTROS ENSERES MENORES,Municipio_6,Barrio_245,ESTRATO 5,Aliado_23,Sucursal_310,Vendedor_123,Grandes Superficies,Hogar,27,172.5,ENTREGADO
TRX-189150,ITM-749462,CTR-99018,2025-06-29T21:22:20.000Z,OTROS ENSERES MENORES,Municipio_26,Barrio_249,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,14,242.6,ENTREGADO
TRX-189150,ITM-778034,CTR-99018,2025-06-29T21:22:20.000Z,CELULAR,Municipio_26,Barrio_249,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,14,969.4,ENTREGADO
TRX-562845,ITM-118549,CTR-38883,2025-06-29T21:04:39.000Z,LAVADORA,Municipio_10,Barrio_208,ESTRATO 2,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,21,2095.0,ENTREGADO
TRX-418740,ITM-634962,CTR-95148,2025-06-29T21:00:04.000Z,AIRE ACONDICIONADO,Municipio_10,Barrio_386,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,27,1539.9,ENTREGADO
TRX-157214,ITM-786407,CTR-33416,2025-06-29T20:42:55.000Z,LAVADORA C2,Municipio_10,Barrio_7,ESTRATO 5,Aliado_104,Sucursal_253,Vendedor_208,Fdv Externa,Hogar,40,1392.0,ENTREGADO
TRX-778543,ITM-778034,CTR-46427,2025-06-29T20:40:17.000Z,CELULAR,Municipio_27,Barrio_295,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,3,479.9,ENTREGADO
TRX-660917,ITM-989784,CTR-78054,2025-06-29T20:32:20.000Z,NEVERA,Municipio_4,Barrio_284,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,63,10035.7,ENTREGADO
TRX-707532,ITM-118549,CTR-28708,2025-06-29T20:30:23.000Z,LAVADORA,Municipio_10,Barrio_388,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,13,2656.7,ENTREGADO
TRX-891440,ITM-559076,CTR-40201,2025-06-29T20:28:24.000Z,TELEVISOR,Municipio_2,Barrio_169,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,1545.2,ENTREGADO
TRX-997191,ITM-749462,CTR-47383,2025-06-29T20:25:04.000Z,OTROS ENSERES MENORES,Municipio_15,Barrio_12,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,38,612.0,ENTREGADO
TRX-746275,ITM-118549,CTR-10261,2025-06-29T20:24:42.000Z,LAVADORA,Municipio_50,Barrio_432,ESTRATO 5,Aliado_65,Sucursal_310,Vendedor_208,Fdv Externa,Viajes y Experiencia,63,2537.9,ENTREGADO
TRX-746275,ITM-778034,CTR-10261,2025-06-29T20:24:42.000Z,CELULAR,Municipio_50,Barrio_432,ESTRATO 5,Aliado_65,Sucursal_310,Vendedor_208,Fdv Externa,Viajes y Experiencia,63,1724.5,ENTREGADO
TRX-914883,ITM-473119,CTR-57119,2025-06-29T20:00:41.000Z,EQUIPOS GIMNASIO,Municipio_10,Barrio_196,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,14,3511.1,ENTREGADO
TRX-914883,ITM-924219,CTR-57119,2025-06-29T20:00:41.000Z,INSTALACIÓN,Municipio_10,Barrio_196,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,14,105.5,ENTREGADO
TRX-429929,ITM-594550,CTR-30481,2025-06-29T19:49:52.000Z,COMPLEMENTARIOS SUPRA,Municipio_22,Barrio_378,ESTRATO 5,Aliado_80,Sucursal_292,Vendedor_80,Puntos Fijos Mpios,Hogar,21,1484.0,ENTREGADO
TRX-504119,ITM-989784,CTR-18919,2025-06-29T19:39:02.000Z,NEVERA,Municipio_10,Barrio_138,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,26,2349.2,ENTREGADO
TRX-347772,ITM-749462,CTR-33546,2025-06-29T19:34:48.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_346,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,6,974.6,ENTREGADO
TRX-966235,ITM-989784,CTR-69178,2025-06-29T19:33:50.000Z,NEVERA,Municipio_10,Barrio_178,ESTRATO 6,Aliado_84,Sucursal_301,Vendedor_84,Grandes Superficies,Hogar,50,3191.9,ENTREGADO
TRX-477356,ITM-255596,CTR-93257,2025-06-29T19:26:41.000Z,ESTUFAS,Municipio_10,Barrio_382,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,15,365.4,ENTREGADO
TRX-477356,ITM-749462,CTR-93257,2025-06-29T19:26:41.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_382,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,15,1696.2,ENTREGADO
TRX-552237,ITM-778034,CTR-88434,2025-06-29T19:22:52.000Z,CELULAR,Municipio_9,Barrio_23,ESTRATO 5,Aliado_84,Sucursal_265,Vendedor_84,Fdv Externa,viajes y experiencia,38,1223.9,REGISTRADO
TRX-409413,ITM-778034,CTR-53657,2025-06-29T19:14:07.000Z,CELULAR,Municipio_10,Barrio_478,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,15,831.5,ENTREGADO
TRX-967354,ITM-778034,CTR-63262,2025-06-29T19:09:01.000Z,CELULAR,Municipio_28,Barrio_256,ESTRATO 6,Aliado_84,Sucursal_301,Vendedor_84,Grandes Superficies,Hogar,5,1090.7,ENTREGADO
TRX-954248,ITM-922035,CTR-22675,2025-06-29T19:08:06.000Z,COLCHON,Municipio_10,Barrio_417,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,36,1018.6,ENTREGADO
TRX-954248,ITM-559076,CTR-22675,2025-06-29T19:08:06.000Z,TELEVISOR,Municipio_10,Barrio_417,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,36,2214.8,ENTREGADO
TRX-730622,ITM-749462,CTR-44031,2025-06-29T19:06:25.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_272,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,14,806.2,ENTREGADO
TRX-769459,ITM-749462,CTR-49061,2025-06-29T18:59:31.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_188,ESTRATO 6,Aliado_84,Sucursal_301,Vendedor_84,Fdv Externa,Viajes y Experiencia,8,799.7,REGISTRADO
TRX-924737,ITM-778034,CTR-50045,2025-06-29T18:59:22.000Z,CELULAR,Municipio_10,Barrio_154,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,6,1248.2,REGISTRADO
TRX-257740,ITM-903659,CTR-17386,2025-06-29T18:52:07.000Z,RELOJ INTELIGENTE,Municipio_10,Barrio_336,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,26,2444.7,ENTREGADO
TRX-257740,ITM-559076,CTR-17386,2025-06-29T18:52:07.000Z,TELEVISOR,Municipio_10,Barrio_336,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,8,931.8,ENTREGADO
TRX-803567,ITM-141433,CTR-15620,2025-06-29T18:51:23.000Z,CONSOLA PLAY STATION,Municipio_10,Barrio_131,ESTRATO 6,Aliado_84,Sucursal_301,Vendedor_84,Grandes Superficies,Hogar,38,1978.2,ENTREGADO
TRX-918478,ITM-749462,CTR-77239,2025-06-29T18:51:18.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_81,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,341.6,ENTREGADO
TRX-295051,ITM-118549,CTR-91585,2025-06-29T18:48:02.000Z,LAVADORA,Municipio_2,Barrio_180,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Educacion,13,2393.4,ENTREGADO
TRX-533945,ITM-749462,CTR-85006,2025-06-29T18:41:17.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_489,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,20,331.4,ENTREGADO
TRX-533945,ITM-118549,CTR-85006,2025-06-29T18:41:17.000Z,LAVADORA,Municipio_10,Barrio_489,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,20,3182.3,ENTREGADO
TRX-205670,ITM-749462,CTR-17028,2025-06-29T18:40:37.000Z,OTROS ENSERES MENORES,Municipio_46,Barrio_188,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Educacion,15,529.1,ENTREGADO
TRX-556500,ITM-634962,CTR-64935,2025-06-29T18:33:02.000Z,AIRE ACONDICIONADO,Municipio_10,Barrio_147,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Fdv Externa,Viajes y Experiencia,3,1620.0,ENTREGADO
TRX-840272,ITM-118549,CTR-39269,2025-06-29T18:29:34.000Z,LAVADORA,Municipio_10,Barrio_392,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,23,2732.3,ENTREGADO
TRX-840272,ITM-778034,CTR-39269,2025-06-29T18:29:34.000Z,CELULAR,Municipio_10,Barrio_392,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,23,3926.4,ENTREGADO
TRX-840272,ITM-380079,CTR-39269,2025-06-29T18:29:34.000Z,GARANTIA EXTENDIDA ELECTRODOMESTICOS,Municipio_10,Barrio_392,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,23,273.2,ENTREGADO
TRX-545859,ITM-609339,CTR-90619,2025-06-29T18:16:27.000Z,ESTUFA,Municipio_10,Barrio_183,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Fdv Externa,Viajes y Experiencia,31,1433.6,ENTREGADO
TRX-329499,ITM-778034,CTR-46715,2025-06-29T18:07:47.000Z,CELULAR,Municipio_2,Barrio_65,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,10,1378.2,ENTREGADO
TRX-329499,ITM-749462,CTR-46715,2025-06-29T18:07:47.000Z,OTROS ENSERES MENORES,Municipio_2,Barrio_65,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,10,59.9,ENTREGADO
TRX-417074,ITM-902381,CTR-83943,2025-06-29T18:04:31.000Z,BICICLETA,Municipio_13,Barrio_400,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Movilidad,13,746.9,REGISTRADO
TRX-979232,ITM-922035,CTR-92005,2025-06-29T18:01:47.000Z,COLCHON,Municipio_10,Barrio_84,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,5,1695.8,ENTREGADO
TRX-979232,ITM-634962,CTR-92005,2025-06-29T18:01:47.000Z,AIRE ACONDICIONADO,Municipio_10,Barrio_84,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,5,455.7,ENTREGADO
TRX-979232,ITM-891322,CTR-92005,2025-06-29T18:01:47.000Z,MUEBLES MODULARES,Municipio_10,Barrio_84,ESTRATO 4,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,5,731.3,ENTREGADO
